,OrderId,OrderDate,UserId,TotalCharges,CommonId,PupId,PickupDate
215,930,2009-07-21,253,67.33,GGTHH,4,2009-07-21
216,939,2009-07-23,253,78.3,RCAUB,6,2009-07-23
217,991,2009-07-31,253,73.45,7MU9B,5,2009-07-31
218,1004,2009-08-04,253,112.51,AEPLY,4,2009-08-04
219,1044,2009-08-11,253,275.94,KV7M2,4,2009-08-11
220,1065,2009-08-17,253,93.54,QQECQ,4,2009-08-18
221,1072,2009-08-18,253,8.55,4M6FH,4,2009-08-18
222,1121,2009-08-25,253,117.2805,W499U,3,2009-08-25
223,1163,2009-09-01,253,133.1505,TMDA6,3,2009-09-01
224,1164,2009-09-01,253,15.1,FQNRH,3,2009-09-01
225,1211,2009-09-08,253,77.8405,4LWYX,3,2009-09-08
226,1249,2009-09-15,253,120.7102,FSRRY,3,2009-09-15
227,1295,2009-09-23,253,183.559,XH7S2,6,2009-09-24
228,1306,2009-09-24,253,12.89,D69ZH,6,2009-09-24
229,1326,2009-09-29,253,64.6677,RDVP5,3,2009-09-29
230,1381,2009-10-08,253,193.0202,JDKYJ,6,2009-10-08
231,1419,2009-10-14,253,136.45,73SV2,6,2009-10-15
232,1429,2009-10-15,253,23.74,AMQFX,6,2009-10-15
233,1594,2009-11-03,253,141.1412,LFS67,3,2009-11-03
234,1622,2009-11-05,253,33.3537,DJEBJ,5,2009-11-06
235,1749,2009-11-12,253,58.2455,NTZMY,15,2009-11-13
236,1944,2009-12-04,253,184.1292,8A7CG,5,2009-12-04
237,1998,2009-12-09,253,82.6957,UKJ9G,9,2009-12-09
238,2022,2009-12-11,253,14.9875,GA4BG,5,2009-12-11
239,2093,2009-12-18,253,78.28,E84RF,5,2009-12-18
240,2146,2009-12-28,253,198.7354,ZPKKR,18,2009-12-28
241,2148,2009-12-28,253,5.115,YH4N5,18,2009-12-28
242,2233,2010-01-05,253,65.1562,XRSCD,3,2010-01-05
243,2250,2010-01-07,253,31.1478,WGQQY,6,2010-01-07
244,2324,2010-01-12,253,210.89,NSU2Q,3,2010-01-12
245,2408,2010-01-19,253,105.739,DTSTE,3,2010-01-19
246,2500,2010-01-26,253,166.457,B52SU,3,2010-01-26
247,2573,2010-01-30,253,42.3975,3QJXT,18,2010-02-01
248,2598,2010-02-01,253,136.1052,B228X,18,2010-02-01
249,2744,2010-02-09,253,203.433,6875M,3,2010-02-09
250,2853,2010-02-15,253,129.07,FN8AT,18,2010-02-15
251,2971,2010-02-22,253,166.3652,PCPFA,18,2010-02-22
252,3089,2010-03-01,253,165.1375,Y2R9C,18,2010-03-01
253,3225,2010-03-08,253,294.2708,FCSCN,18,2010-03-08
254,270,2009-01-14,277,127.47,EZATD,2,2009-01-14
255,286,2009-01-28,277,146.085,QLDNM,2,2009-01-28
256,315,2009-02-15,277,89.295,SAMKG,2,2009-02-16
257,335,2009-02-25,277,169.72,7ZQQK,2,2009-02-25
258,362,2009-03-11,277,104.45,ZAAAS,4,2009-03-12
259,383,2009-03-19,277,187.81,VMNHJ,4,2009-03-19
260,404,2009-04-02,277,117.76,RC8HW,4,2009-04-02
261,417,2009-04-09,277,64.8,249WL,4,2009-04-09
262,437,2009-04-15,277,47.03,MGVDQ,4,2009-04-16
263,458,2009-04-20,277,94.87,X8R62,4,2009-04-21
264,565,2009-05-12,277,181.295,CLA2G,4,2009-05-12
265,614,2009-05-21,277,118.76,R37EN,4,2009-05-21
266,695,2009-06-09,277,177.12,PZVFL,4,2009-06-09
267,758,2009-06-18,277,120.61,YXKDK,4,2009-06-18
268,820,2009-07-02,277,137.01,FFBGH,4,2009-07-02
269,885,2009-07-13,277,179.49,TFDVF,4,2009-07-14
270,967,2009-07-29,277,100.05,8BFPY,4,2009-07-30
271,1061,2009-08-17,277,269.125,25PEQ,4,2009-08-18
272,1169,2009-09-02,277,234.591,9JJLS,4,2009-09-03
273,1289,2009-09-22,277,136.5805,6JP8C,4,2009-09-22
274,1331,2009-09-29,277,105.6752,GNUB5,4,2009-09-29
275,1467,2009-10-20,277,153.09,HDAW4,4,2009-10-21
276,1593,2009-11-03,277,212.5655,7VUM4,4,2009-11-03
277,1693,2009-11-11,277,199.8052,CQ494,11,2009-11-11
278,2071,2009-12-16,277,336.717,TZBTU,4,2009-12-17
279,2121,2009-12-22,277,100.1412,5VC6G,4,2009-12-22
280,2325,2010-01-12,277,263.4845,WMZCH,11,2010-01-13
281,2470,2010-01-25,277,286.3177,E8GYU,4,2010-01-25
282,2620,2010-02-02,277,214.04,FM776,4,2010-02-02
283,2975,2010-02-22,277,210.296,M28FM,4,2010-03-01
284,3226,2010-03-08,277,200.38,4J2YE,4,2010-03-09
285,304,2009-02-09,407,20.55,UP3XG,3,2009-02-12
286,268,2009-01-13,457,50.21,RJ4JJ,2,2009-01-14
287,349,2009-03-05,457,39.44,CQYRU,4,2009-03-05
288,927,2009-07-21,457,50.67,DU3LF,3,2009-07-21
289,2041,2009-12-14,457,92.2452,5XDTF,18,2009-12-14
290,2296,2010-01-11,457,56.07,EBYL4,18,2010-01-11
291,2386,2010-01-18,457,28.81,K8RMX,18,2010-01-18
292,2479,2010-01-25,457,53.89,LRSNB,18,2010-01-25
293,2963,2010-02-22,457,37.13,HS96B,18,2010-02-22
294,3131,2010-03-03,457,60.235,6MN4M,11,2010-03-03
295,3208,2010-03-08,457,42.56,XKBEP,18,2010-03-08
296,329,2009-02-19,464,12.6,RR7TA,3,2009-02-19
297,263,2009-01-12,550,87.63,6GC3F,2,2009-01-12
298,303,2009-02-09,550,89.33,A8UEG,2,2009-02-09
299,334,2009-02-23,550,177.63,RB7XZ,2,2009-02-23
300,661,2009-05-31,550,101.09,U8SZM,4,2009-06-02
301,769,2009-06-22,550,94.34,CJ9Z6,4,2009-06-23
302,2246,2010-01-06,550,113.771,FA48Z,6,2010-01-07
303,281,2009-01-24,616,101.22,VRL6K,3,2009-01-27
304,372,2009-03-17,616,93.29,N45NC,4,2009-03-17
305,457,2009-04-20,616,191.62,6YBX6,4,2009-04-21
306,594,2009-05-19,807,89.56,6P9J6,3,2009-05-19
307,710,2009-06-11,807,32.7,E8AYE,6,2009-06-11
308,890,2009-07-14,807,41.79,Y9LM2,3,2009-07-14
309,2106,2009-12-21,825,52.39,ACEYT,4,2009-12-22
310,267,2009-01-13,891,131.98,GL97J,3,2009-01-13
311,282,2009-01-27,891,105.73,BYLT6,3,2009-01-27
312,305,2009-02-10,891,136.07,8FE37,3,2009-02-10
313,336,2009-02-25,891,117.51,MQTTC,2,2009-02-25
314,359,2009-03-10,891,134.0,MD6NG,4,2009-03-10
315,401,2009-04-01,891,155.35,5ZRKG,4,2009-04-02
316,432,2009-04-14,891,67.66,KSZ83,4,2009-04-14
317,492,2009-04-27,891,145.37,BPA97,4,2009-04-28
318,592,2009-05-18,891,117.51,KLNRT,4,2009-05-19
319,650,2009-05-28,891,127.47,J7GNQ,4,2009-05-28
320,703,2009-06-10,891,66.28,QS5SA,4,2009-06-11
321,729,2009-06-15,891,66.08,ASV3U,4,2009-06-16
322,770,2009-06-22,891,54.13,R2VGF,4,2009-06-23
323,889,2009-07-14,891,47.88,SRWVH,4,2009-07-14
324,924,2009-07-20,891,44.42,42PKC,4,2009-07-21
325,1204,2009-09-08,891,114.02,VCRBQ,4,2009-09-08
326,1476,2009-10-21,891,56.0252,QTPU4,4,2009-10-22
327,1616,2009-11-05,891,130.41,S58HG,4,2009-11-05
328,1818,2009-11-18,891,51.33,X3SAP,4,2009-11-18
329,1961,2009-12-06,891,60.92,FRTLZ,4,2009-12-07
330,2122,2009-12-22,891,45.7102,KRHW8,4,2009-12-22
331,2131,2009-12-23,891,63.31,UR5YA,4,2009-12-23
332,2432,2010-01-21,891,69.55,S5P2B,4,2010-01-21
333,2678,2010-02-04,891,132.97,M6ZDH,4,2010-02-05
334,280,2009-01-20,899,12.29,WNYJY,3,2009-01-20
335,2330,2010-01-12,937,41.35,PNQCR,11,2010-01-13
336,2403,2010-01-19,937,35.5402,5WV2U,11,2010-01-20
337,2510,2010-01-27,937,48.6488,RQ5QF,11,2010-01-27
338,3130,2010-03-03,937,56.3302,VLU5R,11,2010-03-03
339,2203,2010-01-04,940,116.4058,8FRRC,5,2010-01-08
340,560,2009-05-10,1023,28.82,QZGXS,5,2009-05-15
341,589,2009-05-15,1023,26.37,BT94E,5,2009-05-15
342,619,2009-05-21,1023,46.0,AUJMK,5,2009-05-22
343,1229,2009-09-11,1023,36.99,VGRTP,5,2009-09-11
344,1349,2009-10-01,1023,76.52,2RUUP,5,2009-10-02
345,2140,2009-12-27,1027,42.82,SBTD6,15,2009-12-28
346,342,2009-03-01,1409,25.93,7EMRK,3,2009-03-03
347,602,2009-05-19,1409,27.01,NQFQ2,4,2009-05-19
348,1496,2009-10-22,1409,53.66,6E8YW,7,2009-10-27
349,259,2009-01-06,1558,62.74,M5QH8,3,2009-01-06
350,284,2009-01-27,1558,71.88,ELLRK,3,2009-01-27
351,371,2009-03-17,1558,44.01,3EKEU,3,2009-03-17
352,394,2009-03-26,1558,37.78,23697,3,2009-03-26
353,600,2009-05-19,1558,46.98,QHYY3,3,2009-05-19
354,1591,2009-11-03,1558,138.56,ZDV3V,3,2009-11-03
355,1798,2009-11-17,1558,76.85,J4CHJ,3,2009-11-17
356,1869,2009-11-23,1558,236.45,JP9SK,3,2009-11-24
357,1903,2009-11-30,1558,102.9042,CANUH,3,2009-12-01
358,1990,2009-12-08,1558,50.47,WGXUY,3,2009-12-08
359,1991,2009-12-08,1558,14.21,SF5DE,3,2009-12-08
360,2058,2009-12-15,1558,281.6052,85Q2P,3,2009-12-15
361,2231,2010-01-05,1558,112.77,L3R8S,3,2010-01-05
362,307,2009-02-10,1588,18.32,FLUWJ,3,2009-02-10
363,269,2009-01-14,1625,33.22,5A8NQ,2,2009-01-14
364,545,2009-05-08,1625,48.49,ZM7RS,5,2009-05-08
365,624,2009-05-22,1625,36.4,ADX6Z,5,2009-05-22
366,989,2009-07-31,1625,50.07,E4YCW,5,2009-07-31
367,1099,2009-08-21,1625,27.39,FXP6M,5,2009-08-21
368,1303,2009-09-24,1625,35.5602,4F8CJ,6,2009-09-24
369,1567,2009-10-30,1625,50.38,Q5HP4,5,2009-10-30
370,2567,2010-01-29,1625,33.814,RSAGK,5,2010-01-29
371,1067,2009-08-18,1701,57.33,6NT9F,5,2009-08-21
372,1214,2009-09-09,1701,50.493,CEQTU,5,2009-09-11
373,1307,2009-09-24,1701,91.76,RKCZ4,5,2009-09-25
374,1389,2009-10-08,1701,28.39,9QYWB,5,2009-10-09
375,1432,2009-10-15,1701,28.79,JM2EN,5,2009-10-16
376,1568,2009-10-30,1701,53.12,VF6B5,5,2009-10-30
377,1872,2009-11-24,1701,51.63,AHLRY,11,2009-11-25
378,2087,2009-12-18,1701,106.2787,FFZJY,5,2009-12-18
379,2174,2009-12-30,1701,116.423,YKWFT,15,2010-01-04
380,1336,2009-09-30,1844,53.1402,Y5YYS,5,2009-10-02
381,1514,2009-10-24,1925,87.581,6H6RE,6,2009-10-29
382,358,2009-03-10,2195,49.15,94DQP,3,2009-03-12
383,374,2009-03-17,2195,23.27,YBPWT,3,2009-03-19
384,641,2009-05-27,2195,53.77,JXVNF,3,2009-05-28
385,662,2009-06-01,2195,47.58,PE48Q,3,2009-06-02
386,2585,2010-01-31,2195,95.4563,PMN5Q,3,2010-02-02
387,2872,2010-02-16,2195,64.84,ZSGQ6,9,2010-02-17
388,2259,2010-01-07,2235,25.7177,W66VA,15,2010-01-11
389,2336,2010-01-13,2235,16.54,TBTJV,15,2010-01-18
390,2405,2010-01-19,2235,14.35,BD4LG,15,2010-01-25
391,2804,2010-02-12,2235,35.5677,WPWWG,15,2010-02-15
392,297,2009-02-04,2583,21.37,ST4GF,2,2009-02-04
393,709,2009-06-11,2583,25.19,RXS2X,6,2009-06-11
394,757,2009-06-18,2583,15.41,4ZWBZ,6,2009-06-18
395,780,2009-06-25,2583,31.34,JEUNE,6,2009-06-25
396,825,2009-07-02,2583,21.86,33DKS,6,2009-07-02
397,937,2009-07-23,2583,17.14,B6G8Q,6,2009-07-23
398,1089,2009-08-20,2583,35.86,ERR8E,6,2009-08-20
399,1177,2009-09-03,2583,34.83,3QH8W,6,2009-09-03
400,1222,2009-09-10,2583,59.49,DFQ89,6,2009-09-10
401,1261,2009-09-17,2583,21.72,W4JLW,6,2009-09-17
402,1305,2009-09-24,2583,15.76,PT396,6,2009-09-24
403,1346,2009-10-01,2583,34.94,WEFFM,6,2009-10-01
404,1382,2009-10-08,2583,28.88,4KQHY,6,2009-10-08
405,1489,2009-10-22,2583,19.76,2QETX,6,2009-10-22
406,1706,2009-11-11,2583,29.8002,AQCBP,11,2009-11-11
407,1975,2009-12-07,2583,57.6245,RK3GG,18,2009-12-07
408,2145,2009-12-28,2583,69.1302,X3FLH,18,2009-12-28
409,2770,2010-02-10,2583,33.4,C3BEH,11,2010-02-10
410,3048,2010-02-26,2583,30.4472,ALDXX,5,2010-02-26
411,331,2009-02-21,2930,69.84,UXTWC,2,2009-02-23
412,322,2009-02-17,3181,18.35,836WT,3,2009-02-17
413,442,2009-04-16,3181,26.24,P2LP6,3,2009-04-16
414,472,2009-04-23,3181,14.37,NC74H,3,2009-04-23
415,256,2009-01-06,3190,35.48,PW8A3,2,2009-01-07
416,541,2009-05-07,3190,15.05,8KWY4,5,2009-05-08
417,542,2009-05-07,3190,2.99,3RKTD,5,2009-05-08
418,258,2009-01-06,3194,7.37,JTGT4,3,2009-01-08
419,741,2009-06-17,3194,20.62,KDC7K,4,2009-06-18
420,804,2009-06-30,3194,8.18,RJFH8,5,2009-07-10
421,2589,2010-01-31,3194,20.82,3G7QJ,15,2010-02-01
422,2228,2010-01-05,3197,73.8033,K52DS,3,2010-01-05
423,2254,2010-01-07,3197,62.9018,3J5UK,15,2010-01-08
